id,source,team,category,updated_at,content
ticket_policy_1f4d1613fe99852d,https://yagu.today/calendar/2026/9,롯데,ticket_policy,2026-09-05 03:01:02,[선예매] 롯데 선예매 (시즌권) 9월 6일 일요일 오전 10시 (9/20 삼성전) 삼성 vs 롯데 (9/20) 오픈: 9월 6일 일요일 오전 최대 2매 예매처: 롯데 자이언츠 앱/웹
ticket_policy_1f4d1613fe99852d,https://yagu.today/calendar/2026/9,롯데,ticket_policy,2026-09-05 03:01:02,[선예매] 롯데 선예매 (멤버십) 9월 6일 일요일 오전 10시 (9/20 삼성전) 삼성 vs 롯데 (9/20) 오픈: 9월 6일 일요일 오전 최대 2매 예매처: 롯데 자이언츠 앱/웹
ticket_policy_e592da6b654ca7ff,https://yagu.today/calendar/2026/9,KIA,ticket_policy,2026-09-05 03:01:02,"[일반] KIA 일반예매 9월 6일 일요일 오전 11시 (9/13 한화전) 한화 vs KIA (9/13) 오픈: 9월 6일 일요일 오전 최대 8매 예매처: 티켓링크 / 타이거즈앱 앱/티켓링크앱=특별석 포함, PC 티켓링크=일반석만"
ticket_policy_3c103d3da0528011,https://yagu.today/calendar/2026/9,두산,ticket_policy,2026-09-05 03:01:02,[일반] 두산 일반예매 9월 6일 일요일 오전 11시 (9/13 NC전) NC vs 두산 (9/13) 오픈: 9월 6일 일요일 오전 예매처: 놀티켓 / 구단 홈페이지
ticket_policy_f119858ceb6c86bd,https://yagu.today/calendar/2026/9,KT,ticket_policy,2026-09-05 03:01:02,[선예매] KT 시즌권 선예매 9월 6일 일요일 오후 1시 (9/13 롯데전) 롯데 vs KT (9/13) 오픈: 9월 6일 일요일 오후 최대 2매 예매처: 티켓링크 / WIZ APP
ticket_policy_40a98070616d53c1,https://yagu.today/calendar/2026/9,KT,ticket_policy,2026-09-05 03:01:02,"[선예매] KT 매직회원 9월 6일 일요일 오후 2시 (9/13 롯데전) 롯데 vs KT (9/13) 오픈: 9월 6일 일요일 오후 예매처: 티켓링크 / WIZ APP 시즌 6매, 응원지정석만"
ticket_policy_40a98070616d53c1,https://yagu.today/calendar/2026/9,KT,ticket_policy,2026-09-05 03:01:02,[선예매] KT 빅또리 9월 6일 일요일 오후 2시 (9/13 롯데전) 롯데 vs KT (9/13) 오픈: 9월 6일 일요일 오후 예매처: 티켓링크 / WIZ APP 시즌 10매
ticket_policy_15a351fbbce84fc0,https://yagu.today/calendar/2026/9,롯데,ticket_policy,2026-09-05 03:01:02,[일반] 롯데 일반예매 9월 6일 일요일 오후 2시 (9/20 삼성전) 삼성 vs 롯데 (9/20) 오픈: 9월 6일 일요일 오후 최대 8매 예매처: 롯데 자이언츠 앱/웹 선예매 포함 합산 최대 8매. 홈개막 시리즈 한해 앱 전용 (추가 공지)
ticket_policy_5da73259cb572cda,https://yagu.today/calendar/2026/9,KT,ticket_policy,2026-09-05 03:01:02,[일반] KT 일반예매 9월 6일 일요일 오후 4시 (9/13 롯데전) 롯데 vs KT (9/13) 오픈: 9월 6일 일요일 오후 예매처: 티켓링크 / WIZ APP
ticket_policy_53ce9cd4bd4bd5fc,https://yagu.today/calendar/2026/9,삼성,ticket_policy,2026-09-05 03:01:02,"[선예매] 삼성 선예매 (블루 멤버십) 9월 7일 월요일 오전 11시 (9/15) 롯데 vs 삼성 (9/15) 오픈: 9월 7일 월요일 오전 최대 4매 예매처: 구단 홈페이지 (블루 멤버십) 블루 멤버십 전용 (구단 홈페이지). 골드: 전좌석(특화좌석 제외, 3루내야석 보장) / 실버: SKY중앙, 블루존, 상하단 지정석, 외야지정석 (블루존 70%)"
