id,raw_id,source,team,team_code,category,updated_at,content,status,evidence_type,parse_status,policy_type,policy_name,policy_subtype,open_date,open_ampm,open_time,game_date_mmdd,opponent_name_raw,away_team_name_raw,home_team_name_raw,away_team_code,home_team_code,max_tickets,booking_channel_and_condition
ticket_policy_57b3ee92e1b47918,ticket_policy_afa64741ea48ec1f,https://yagu.today/calendar/2026/9,KT,KT,ticket_policy,2026-09-05 03:01:02,[선예매] KT 시즌권 선예매 9월 5일 토요일 오후 1시 (9/12 KIA전) KIA vs KT (9/12) 오픈: 9월 5일 토요일 오후 최대 2매 예매처: 티켓링크 / WIZ APP,CONFIRMED,THIRD_PARTY_API,OK,선예매,KT 시즌권 선예매,,9월 5일 토요일,오후,1시,9/12,KIA,KIA,KT,KIA,KT,2,티켓링크 / WIZ APP
ticket_policy_a280bc4b26b775bb,ticket_policy_1b01c796cd39c295,https://yagu.today/calendar/2026/9,KT,KT,ticket_policy,2026-09-05 03:01:02,"[선예매] KT 매직회원 9월 5일 토요일 오후 2시 (9/12 KIA전) KIA vs KT (9/12) 오픈: 9월 5일 토요일 오후 예매처: 티켓링크 / WIZ APP 시즌 6매, 응원지정석만",CONFIRMED,THIRD_PARTY_API,OK,선예매,KT 매직회원,,9월 5일 토요일,오후,2시,9/12,KIA,KIA,KT,KIA,KT,,"티켓링크 / WIZ APP 시즌 6매, 응원지정석만"
ticket_policy_7c5e9d5d958f3756,ticket_policy_1b01c796cd39c295,https://yagu.today/calendar/2026/9,KT,KT,ticket_policy,2026-09-05 03:01:02,[선예매] KT 빅또리 9월 5일 토요일 오후 2시 (9/12 KIA전) KIA vs KT (9/12) 오픈: 9월 5일 토요일 오후 예매처: 티켓링크 / WIZ APP 시즌 10매,CONFIRMED,THIRD_PARTY_API,OK,선예매,KT 빅또리,,9월 5일 토요일,오후,2시,9/12,KIA,KIA,KT,KIA,KT,,티켓링크 / WIZ APP 시즌 10매
ticket_policy_471e96ff9c885b4c,ticket_policy_3aff7f8cb3be104f,https://yagu.today/calendar/2026/9,키움,KIWOOM,ticket_policy,2026-09-05 03:01:02,[일반] 키움 일반예매 9월 5일 토요일 오후 2시 (9/12 롯데전) 롯데 vs 키움 (9/12) 오픈: 9월 5일 토요일 오후 예매처: 놀티켓,CONFIRMED,THIRD_PARTY_API,OK,일반,키움 일반예매,,9월 5일 토요일,오후,2시,9/12,롯데,롯데,키움,LOTTE,KIWOOM,,놀티켓
ticket_policy_f545b807f9bba297,ticket_policy_70e2bda51ffc4e70,https://yagu.today/calendar/2026/9,롯데,LOTTE,ticket_policy,2026-09-05 03:01:02,[일반] 롯데 일반예매 9월 5일 토요일 오후 2시 (9/19 삼성전) 삼성 vs 롯데 (9/19) 오픈: 9월 5일 토요일 오후 최대 8매 예매처: 롯데 자이언츠 앱/웹 선예매 포함 합산 최대 8매. 홈개막 시리즈 한해 앱 전용 (추가 공지),CONFIRMED,THIRD_PARTY_API,OK,일반,롯데 일반예매,,9월 5일 토요일,오후,2시,9/19,삼성,삼성,롯데,SAMSUNG,LOTTE,8,롯데 자이언츠 앱/웹 선예매 포함 합산 최대 8매. 홈개막 시리즈 한해 앱 전용 (추가 공지)
ticket_policy_fea2aa383ef77efc,ticket_policy_0ac2fe6874ea071f,https://yagu.today/calendar/2026/9,KT,KT,ticket_policy,2026-09-05 03:01:02,[일반] KT 일반예매 9월 5일 토요일 오후 4시 (9/12 KIA전) KIA vs KT (9/12) 오픈: 9월 5일 토요일 오후 예매처: 티켓링크 / WIZ APP,CONFIRMED,THIRD_PARTY_API,OK,일반,KT 일반예매,,9월 5일 토요일,오후,4시,9/12,KIA,KIA,KT,KIA,KT,,티켓링크 / WIZ APP
ticket_policy_0a606891b3e90149,ticket_policy_6285dfbd60ce7d97,https://yagu.today/calendar/2026/9,두산,DOOSAN,ticket_policy,2026-09-05 03:01:02,"[선예매] 두산 선예매 (베어스클럽) 9월 6일 일요일 오전 10시 (9/13 NC전) NC vs 두산 (9/13) 오픈: 9월 6일 일요일 오전 최대 2매 예매처: 구단 홈페이지 성인 대상, 구단 홈페이지만 가능",CONFIRMED,THIRD_PARTY_API,OK,선예매,두산 선예매,베어스클럽,9월 6일 일요일,오전,10시,9/13,NC,NC,두산,NC,DOOSAN,2,"구단 홈페이지 성인 대상, 구단 홈페이지만 가능"
ticket_policy_e073e88cf7c19084,ticket_policy_6285dfbd60ce7d97,https://yagu.today/calendar/2026/9,두산,DOOSAN,ticket_policy,2026-09-05 03:01:02,"[선예매] 두산 선예매 (두린이클럽) 9월 6일 일요일 오전 10시 (9/13 NC전) NC vs 두산 (9/13) 오픈: 9월 6일 일요일 오전 최대 4매 예매처: 구단 홈페이지 어린이 대상, 구단 홈페이지만 가능",CONFIRMED,THIRD_PARTY_API,OK,선예매,두산 선예매,두린이클럽,9월 6일 일요일,오전,10시,9/13,NC,NC,두산,NC,DOOSAN,4,"구단 홈페이지 어린이 대상, 구단 홈페이지만 가능"
ticket_policy_54c55dd265b08823,ticket_policy_1f4d1613fe99852d,https://yagu.today/calendar/2026/9,롯데,LOTTE,ticket_policy,2026-09-05 03:01:02,[선예매] 롯데 선예매 (시즌권) 9월 6일 일요일 오전 10시 (9/20 삼성전) 삼성 vs 롯데 (9/20) 오픈: 9월 6일 일요일 오전 최대 2매 예매처: 롯데 자이언츠 앱/웹,CONFIRMED,THIRD_PARTY_API,OK,선예매,롯데 선예매,시즌권,9월 6일 일요일,오전,10시,9/20,삼성,삼성,롯데,SAMSUNG,LOTTE,2,롯데 자이언츠 앱/웹
ticket_policy_42a7bee703593e02,ticket_policy_1f4d1613fe99852d,https://yagu.today/calendar/2026/9,롯데,LOTTE,ticket_policy,2026-09-05 03:01:02,[선예매] 롯데 선예매 (멤버십) 9월 6일 일요일 오전 10시 (9/20 삼성전) 삼성 vs 롯데 (9/20) 오픈: 9월 6일 일요일 오전 최대 2매 예매처: 롯데 자이언츠 앱/웹,CONFIRMED,THIRD_PARTY_API,OK,선예매,롯데 선예매,멤버십,9월 6일 일요일,오전,10시,9/20,삼성,삼성,롯데,SAMSUNG,LOTTE,2,롯데 자이언츠 앱/웹
ticket_policy_b2c3985b734699d9,ticket_policy_e592da6b654ca7ff,https://yagu.today/calendar/2026/9,KIA,KIA,ticket_policy,2026-09-05 03:01:02,"[일반] KIA 일반예매 9월 6일 일요일 오전 11시 (9/13 한화전) 한화 vs KIA (9/13) 오픈: 9월 6일 일요일 오전 최대 8매 예매처: 티켓링크 / 타이거즈앱 앱/티켓링크앱=특별석 포함, PC 티켓링크=일반석만",CONFIRMED,THIRD_PARTY_API,OK,일반,KIA 일반예매,,9월 6일 일요일,오전,11시,9/13,한화,한화,KIA,HANWHA,KIA,8,"티켓링크 / 타이거즈앱 앱/티켓링크앱=특별석 포함, PC 티켓링크=일반석만"
ticket_policy_6269adcb5e995931,ticket_policy_3c103d3da0528011,https://yagu.today/calendar/2026/9,두산,DOOSAN,ticket_policy,2026-09-05 03:01:02,[일반] 두산 일반예매 9월 6일 일요일 오전 11시 (9/13 NC전) NC vs 두산 (9/13) 오픈: 9월 6일 일요일 오전 예매처: 놀티켓 / 구단 홈페이지,CONFIRMED,THIRD_PARTY_API,OK,일반,두산 일반예매,,9월 6일 일요일,오전,11시,9/13,NC,NC,두산,NC,DOOSAN,,놀티켓 / 구단 홈페이지
ticket_policy_fd188f7bebc1915d,ticket_policy_f119858ceb6c86bd,https://yagu.today/calendar/2026/9,KT,KT,ticket_policy,2026-09-05 03:01:02,[선예매] KT 시즌권 선예매 9월 6일 일요일 오후 1시 (9/13 롯데전) 롯데 vs KT (9/13) 오픈: 9월 6일 일요일 오후 최대 2매 예매처: 티켓링크 / WIZ APP,CONFIRMED,THIRD_PARTY_API,OK,선예매,KT 시즌권 선예매,,9월 6일 일요일,오후,1시,9/13,롯데,롯데,KT,LOTTE,KT,2,티켓링크 / WIZ APP
ticket_policy_00f6d79d71e98060,ticket_policy_40a98070616d53c1,https://yagu.today/calendar/2026/9,KT,KT,ticket_policy,2026-09-05 03:01:02,"[선예매] KT 매직회원 9월 6일 일요일 오후 2시 (9/13 롯데전) 롯데 vs KT (9/13) 오픈: 9월 6일 일요일 오후 예매처: 티켓링크 / WIZ APP 시즌 6매, 응원지정석만",CONFIRMED,THIRD_PARTY_API,OK,선예매,KT 매직회원,,9월 6일 일요일,오후,2시,9/13,롯데,롯데,KT,LOTTE,KT,,"티켓링크 / WIZ APP 시즌 6매, 응원지정석만"
ticket_policy_e7552716e374e6c8,ticket_policy_40a98070616d53c1,https://yagu.today/calendar/2026/9,KT,KT,ticket_policy,2026-09-05 03:01:02,[선예매] KT 빅또리 9월 6일 일요일 오후 2시 (9/13 롯데전) 롯데 vs KT (9/13) 오픈: 9월 6일 일요일 오후 예매처: 티켓링크 / WIZ APP 시즌 10매,CONFIRMED,THIRD_PARTY_API,OK,선예매,KT 빅또리,,9월 6일 일요일,오후,2시,9/13,롯데,롯데,KT,LOTTE,KT,,티켓링크 / WIZ APP 시즌 10매
ticket_policy_03f6d42f974ea781,ticket_policy_15a351fbbce84fc0,https://yagu.today/calendar/2026/9,롯데,LOTTE,ticket_policy,2026-09-05 03:01:02,[일반] 롯데 일반예매 9월 6일 일요일 오후 2시 (9/20 삼성전) 삼성 vs 롯데 (9/20) 오픈: 9월 6일 일요일 오후 최대 8매 예매처: 롯데 자이언츠 앱/웹 선예매 포함 합산 최대 8매. 홈개막 시리즈 한해 앱 전용 (추가 공지),CONFIRMED,THIRD_PARTY_API,OK,일반,롯데 일반예매,,9월 6일 일요일,오후,2시,9/20,삼성,삼성,롯데,SAMSUNG,LOTTE,8,롯데 자이언츠 앱/웹 선예매 포함 합산 최대 8매. 홈개막 시리즈 한해 앱 전용 (추가 공지)
